"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,"60","RL",-0.210597854632103,-0.207444396383481,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story","0.615605273325129","5",1.01893889014772,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",0.189333927091236,"Unf",0,150,-0.622970773305917,"GasA","Ex","Y","SBrkr",-0.874619361061355,0.240512129101617,0,0.444847522509877,1,0,"2 ~","Yes HalfBath","3 ~","1","Gd","8 ~","Typ","No Fireplaces","No Fireplace","Attchd","2000 ~ ","RFn",2,"300 ~ 600","TA","TA","Y",0,61,0,0,0,0,"No Pool","No Fence","None",0,2,2008,"WD","Normal",0.562809300572219
2,"20","RL",0.411472591368731,-0.0593326051746959,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","non-norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.0969747090581961","6~9",0.173900507527959,"1950~1997","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock or Stone or Wood","Gd","TA","Gd","Not GLQ",0.924959885559878,"Unf",0,284,0.487378222908597,"GasA","Ex","Y","SBrkr",0.297098591637339,0,0,-0.494789482603059,0,1,"2 ~","No HalfBath","3 ~","1","TA","6","Typ","Yes Fireplaces","TA","Attchd","1900 ~ 1980","RFn",2,"300 ~ 600","TA","TA","Y",298,0,0,0,0,0,"No Pool","No Fence","None",0,5,2007,"WD","Normal",0.231667408405921
3,"60","RL",-0.0861837654319362,0.15317561699443,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story","0.615605273325129","5",0.956343454398104,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",-0.405657656964283,"Unf",0,434,-0.447940389666191,"GasA","Ex","Y","SBrkr",-0.689915053246783,0.286736780682219,0,0.604250228734393,1,0,"2 ~","Yes HalfBath","3 ~","1","Gd","6","Typ","Yes Fireplaces","TA","Attchd","2000 ~ ","RFn",2,"600 ~","TA","TA","Y",0,42,0,0,0,0,"No Pool","No Fence","None",0,9,2008,"WD","Normal",0.727987453711801
4,"70 ~ 90","RL",-0.417954669965714,-0.0657722482707301,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story","0.615605273325129","5",-1.73526028283519,"1950~1997","Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil or Slab","TA","Gd","No","Not GLQ",-1.13587460103242,"Unf",0,540,-0.89645574774299,"GasA","Gd or TA","Y","SBrkr",-0.571588856053072,-0.136989192139965,0,0.459529350714766,1,0,"0 or 1","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Detchd","1980 ~ 2000","Unf",3,"600 ~","TA","TA","Y",0,35,272,0,0,0,"No Pool","No Fence","None",0,2,2006,"WD","Abnorml",-0.393363375921325
5,"60","RL",0.57735804363562,0.540842131375685,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","2Story","1.32818525570845","5",0.925045736523298,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",0.051404059878366,"Unf",0,490,0.167400802817222,"GasA","Ex","Y","SBrkr",-0.0405639710861762,1.00707093447993,0,1.46838068879361,1,0,"2 ~","Yes HalfBath","3 ~","1","Gd","8 ~","Typ","Yes Fireplaces","TA","Attchd","1980 ~ 2000","RFn",3,"600 ~","TA","TA","Y",192,84,0,0,0,0,"No Pool","No Fence","None",0,12,2008,"WD","Normal",0.993418904935956
6,"50","RL",0.618829406702342,0.522167166397186,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","Foyer and .5","-0.809554691441521","5",0.705961711399658,"1950~1997","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock or Stone or Wood","Gd","TA","No","GLQ",0.259651114297798,"Unf",0,64,-0.787061757968161,"GasA","Ex","Y","SBrkr",-1.04777964963752,-0.868879508832828,0,-0.285049079676065,1,0,"0 or 1","Yes HalfBath","0 ~ 2","1","TA","5","Typ","No Fireplaces","No Fireplace","Attchd","1980 ~ 2000","Unf",2,"300 ~ 600","TA","TA","Y",40,30,0,320,0,0,"No Pool","Yes Fence","Shed",700,10,2009,"WD","Normal",-0.342062946379087
7,"20","RL",0.20411577603512,0.0030031399949144,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","1.32818525570845","5",1.05023660802252,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1.98242220085855,"Unf",0,317,1.64695451452178,"GasA","Ex","Y","SBrkr",1.5438526693857,0,0,0.411289058041557,1,0,"2 ~","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","RFn",2,"600 ~","TA","TA","Y",255,57,0,0,0,0,"No Pool","No Fence","None",0,8,2007,"WD","Normal",1.4768669485694
9,"50","RMH",-0.791196937566215,-0.507531764658671,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","non-norm","Norm","1Fam and TwnhsE","Foyer and .5","0.615605273325129","5",-1.2344967968383,"1950~1997","Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil or Slab","TA","TA","No","Not GLQ",0,"Unf",0,952,-0.360425197846328,"GasA","Gd or TA","Y","FuseF",-0.395542562667308,-0.152397409333499,0,0.579081380383153,0,0,"2 ~","No HalfBath","0 ~ 2","2 ~","TA","8 ~","Min1","Yes Fireplaces","TA","Detchd","1900 ~ 1980","Unf",2,"300 ~ 600","Fa","TA","Y",90,0,205,0,0,0,"No Pool","No Fence","None",0,4,2008,"WD","Abnorml",-0.574903700516595
10,"160 ~ 190","RL",-0.832668300632937,-0.340101044161784,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","non-norm","Artery","others","Foyer and .5","-0.809554691441521","6~9",-0.984115053839854,"1950~1997","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil or Slab","TA","TA","No","GLQ",0.581487471127828,"Unf",0,140,-0.253766057815869,"GasA","Ex","Y","SBrkr",-0.23681229813916,0,0,-0.882809228018,1,0,"0 or 1","No HalfBath","0 ~ 2","2 ~","TA","5","Typ","Yes Fireplaces","TA","Attchd","1900 ~ 1980","RFn",1,"0 ~ 300","Gd","TA","Y",0,4,0,0,0,0,"No Pool","No Fence","None",0,1,2008,"WD","Normal",-0.808697840038963
11,"20","RL",-0.00324103929849165,0.146735973898396,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","5",-0.170374389094904,"1950~1997","Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","No","Not GLQ",0.730235367141708,"Unf",0,134,-0.119758420341704,"GasA","Ex","Y","SBrkr",-0.343594476094459,0,0,-0.960413177100988,1,0,"0 or 1","No HalfBath","3 ~","1","TA","5","Typ","No Fireplaces","No Fireplace","Detchd","1900 ~ 1980","Unf",1,"300 ~ 600","TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","None",0,2,2008,"WD","Normal",-0.582393313695931
