"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1461,"20","RMH",80,11622,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","non-norm","Norm","1Fam and TwnhsE","1Story",5,"6~9",1961,"1950~1997","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",-0.39226515969408,"LwQ",144,270,-0.44565917079559,"GasA","Gd or TA","Y","SBrkr",-0.614851800351157,0,0,-1.22435905818803,0,0,"0 or 1","No HalfBath","0 ~ 2","1","TA","5","Typ","No Fireplaces","No Fireplace","Attchd","1900 ~ 1980","Unf",1,"600 ~","TA","TA","Y",140,0,0,0,120,0,"No Pool","Yes Fence","None",0,6,2010,"WD","Normal",NA
1462,"20","RL",81,14267,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","1Story",6,"6~9",1958,"1950~1997","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",0.665492152703168,"Unf",0,406,0.610099583719563,"GasA","Gd or TA","Y","SBrkr",0.447367368809753,0,0,-0.292028933787785,0,0,"0 or 1","Yes HalfBath","3 ~","1","Gd","6","Typ","No Fireplaces","No Fireplace","Attchd","1900 ~ 1980","Unf",1,"300 ~ 600","TA","TA","Y",393,36,0,0,0,0,"No Pool","No Fence","Gar2",12500,6,2010,"WD","Normal",NA
1463,"60","RL",74,13830,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story",5,"5",1997,"1998~","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Mn or No","GLQ",0.35862629504067,"Unf",0,137,-0.33701285601327,"GasA","Gd or TA","Y","SBrkr",-0.536350614639497,-0.159403114678678,0,0.353927272494137,0,0,"2 ~","Yes HalfBath","3 ~","1","TA","6","Typ","Yes Fireplaces","TA","Attchd","1980 ~ 2000","Fin",2,"300 ~ 600","TA","TA","Y",212,34,0,0,0,0,"No Pool","Yes Fence","None",0,3,2010,"WD","Normal",NA
1464,"60","RL",78,9978,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story",6,"6~9",1998,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",20,"TA","TA","PConc","TA","TA","Mn or No","GLQ",-0.0807498193397256,"Unf",0,324,-0.341736608829893,"GasA","Ex","Y","SBrkr",-0.541256938746476,-0.245138689067273,0,0.30009758863731,0,0,"2 ~","Yes HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Attchd","1980 ~ 2000","Fin",2,"300 ~ 600","TA","TA","Y",360,36,0,0,0,0,"No Pool","No Fence","None",0,6,2010,"WD","Normal",NA
1465,"120","RL",43,5005,"Pave","Pave and No Alley","IR","HLS","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","1Story",8,"5",1992,"1950~1997","Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","Mn or No","Not GLQ",-0.868837135609324,"Unf",0,1017,0.494367639712309,"GasA","Ex","Y","SBrkr",0.327162428188772,0,0,-0.397535114147165,0,0,"2 ~","No HalfBath","0 ~ 2","1","Gd","5","Typ","No Fireplaces","No Fireplace","Attchd","1980 ~ 2000","RFn",2,"300 ~ 600","TA","TA","Y",0,82,0,0,144,0,"No Pool","No Fence","None",0,1,2010,"WD","Normal",NA
1466,"60","RL",75,10000,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story",6,"5",1993,"1950~1997","Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Mn or No","Not GLQ",0,"Unf",0,763,-0.726722463384636,"GasA","Gd or TA","Y","SBrkr",-0.941122353465248,0.552574916113567,0,0.409910143705237,0,0,"2 ~","Yes HalfBath","3 ~","1","TA","7","Typ","Yes Fireplaces","TA","Attchd","1980 ~ 2000","Fin",2,"300 ~ 600","TA","TA","Y",157,84,0,0,0,0,"No Pool","No Fence","None",0,4,2010,"WD","Normal",NA
1468,"60","RL",63,8402,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story",6,"5",1998,"1998~","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Mn or No","Not GLQ",0,"Unf",0,789,-0.665313676768542,"GasA","Gd or TA","Y","SBrkr",-0.877340140074523,-0.252593956405411,0,0.000804546393353097,0,0,"2 ~","Yes HalfBath","3 ~","1","TA","7","Typ","Yes Fireplaces","Gd","Attchd","1980 ~ 2000","Fin",2,"300 ~ 600","TA","TA","Y",0,75,0,0,0,0,"No Pool","No Fence","None",0,5,2010,"WD","Normal",NA
1469,"20","RL",85,10176,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","1Story",7,"5",1990,"1950~1997","Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Av or Gd","GLQ",0.000616127767755028,"Unf",0,663,0.541605167878535,"GasA","Gd or TA","Y","SBrkr",0.476805313451625,0,0,-0.266190685536508,1,0,"0 or 1","Yes HalfBath","0 ~ 2","1","Gd","5","Typ","Yes Fireplaces","Po","Attchd","1980 ~ 2000","Unf",2,"300 ~ 600","TA","TA","Y",192,0,0,0,0,0,"No Pool","No Fence","None",0,2,2010,"WD","Normal",NA
1470,"20","RL",70,8400,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","1Story",4,"5",1970,"1950~1997","Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",0.388847932537734,"Rec",78,0,-0.44565917079559,"GasA","Gd or TA","Y","SBrkr",-0.649196069100009,0,0,-1.25450368114785,1,0,"0 or 1","No HalfBath","0 ~ 2","1","TA","~ 4","Typ","No Fireplaces","No Fireplace","Attchd","1900 ~ 1980","Fin",2,"300 ~ 600","TA","TA","Y",240,0,0,0,0,0,"No Pool","Yes Fence","None",0,4,2010,"WD","Normal",NA
1471,"120","RMH",26,5858,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","1Story",7,"5",1999,"1998~","Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","Mn or No","GLQ",0.963059044981955,"BLQ",0,354,0.789602190751222,"GasA","Ex","Y","SBrkr",0.466992665237668,0,0,-0.2748034349536,1,0,"2 ~","No HalfBath","0 ~ 2","1","Gd","5","Typ","Yes Fireplaces","Fa","Attchd","1980 ~ 2000","Fin",2,"300 ~ 600","TA","TA","Y",203,68,0,0,0,0,"No Pool","No Fence","None",0,6,2010,"WD","Normal",NA
1472,"160 ~ 190","RMH",21,1680,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","Norm","Norm","others","2Story",6,"5",1971,"1950~1997","Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",-1.11758445962362,"Unf",0,327,-1.3880478577118,"GasA","Gd or TA","Y","SBrkr",-1.62800772844228,-0.893746947485338,0,-1.02841900894918,0,0,"0 or 1","Yes HalfBath","0 ~ 2","1","TA","5","Typ","No Fireplaces","No Fireplace","Detchd","1900 ~ 1980","Unf",1,"0 ~ 300","TA","TA","Y",275,0,0,0,0,0,"No Pool","No Fence","None",0,2,2010,"COD","Normal",NA
1473,"160 ~ 190","RMH",21,1680,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","Norm","Norm","others","2Story",5,"5",1971,"1950~1997","Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",-0.782821705809987,"Unf",0,225,-1.28884904856273,"GasA","Gd or TA","Y","SBrkr",-1.52497492219572,-0.65890602633397,0,-0.802334336750503,0,0,"0 or 1","Yes HalfBath","3 ~","1","TA","6","Typ","No Fireplaces","No Fireplace","Detchd","1980 ~ 2000","Unf",1,"300 ~ 600","TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","None",0,3,2010,"WD","Normal",NA
1474,"160 ~ 190","RL",24,2280,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","others","2Story",6,"6~9",1975,"1950~1997","Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",-0.285327057781391,"Unf",0,341,-0.509429833819996,"GasA","Gd or TA","Y","SBrkr",-0.715431444544223,-0.532166481585612,0,-0.0185741397951046,0,0,"2 ~","Yes HalfBath","3 ~","1","Gd","6","Typ","Yes Fireplaces","TA","Attchd","1900 ~ 1980","Unf",2,"300 ~ 600","TA","TA","Y",173,0,0,0,0,0,"No Pool","No Fence","None",0,6,2010,"WD","Normal",NA
1475,"120","RL",24,2280,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","others","1Story",7,"6~9",1975,"1950~1997","Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock or Stone or Wood","Gd","TA","Mn or No","Not GLQ",0,"Unf",0,836,-0.55430548557791,"GasA","Ex","Y","SBrkr",-0.762041523560521,0,0,-1.35355029944441,0,0,"0 or 1","No HalfBath","0 ~ 2","1","TA","~ 4","Typ","No Fireplaces","No Fireplace","Attchd","1900 ~ 1980","Unf",1,"300 ~ 600","TA","TA","Y",0,30,0,0,0,0,"No Pool","No Fence","None",0,6,2010,"WD","Normal",NA
1476,"60","RL",102,12858,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","2Story",9,"5",2009,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",162,"Ex","TA","PConc","Ex","TA","Mn or No","Not GLQ",0,"Unf",0,1590,1.22654932628881,"GasA","Ex","Y","SBrkr",1.17840966074959,-0.137037312664262,0,1.87192435725665,0,0,"2 ~","Yes HalfBath","3 ~","1","Ex","8 ~","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","Fin",3,"600 ~","TA","TA","Y",144,133,0,0,0,0,"No Pool","No Fence","None",0,1,2010,"New","Partial",NA
1477,"20","RL",94,12883,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","1Story",8,"5",2009,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",256,"Gd","TA","PConc","Gd","TA","Mn or No","Not GLQ",0,"Unf",0,1544,1.11790301150649,"GasA","Ex","Y","SBrkr",0.974797210309973,0,0,0.170906347380926,0,0,"2 ~","No HalfBath","3 ~","1","Gd","7","Typ","No Fireplaces","No Fireplace","Attchd","2000 ~ ","RFn",3,"600 ~","TA","TA","Y",0,35,0,0,0,0,"No Pool","No Fence","None",0,6,2010,"New","Partial",NA
