"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,"60","RL",-0.210597854632103,-0.207444396383481,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story","0.615605273325129","5",1.01893889014772,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","Mn or No","GLQ",0.186346175155815,"Unf",0,150,-0.622281620700117,"GasA","Ex","Y","SBrkr",-0.87421603968542,0.242051017054447,0,0.445161985766345,"1","0","2 ~","Yes HalfBath","3 ~","1","Gd","8 ~","Typ","No Fireplaces","No Fireplace","Attchd","2000 ~ ","RFn",2,"300 ~ 600","TA","TA","Y",0,61,0,0,0,0,"No Pool","No Fence","None",0,2,2008,"WD","Normal",0.562809300572219
2,"20","RL",0.411472591368731,-0.0593326051746959,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","non-norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.0969747090581961","6~9",0.173900507527959,"1950~1997","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock or Stone or Wood","Gd","TA","Av or Gd","Not GLQ",0.922224888700776,"Unf",0,284,0.487487853681073,"GasA","Ex","Y","SBrkr",0.296867798057291,0,0,-0.493994627598601,"0","1","2 ~","No HalfBath","3 ~","1","TA","6","Typ","Yes Fireplaces","TA","Attchd","1900 ~ 1980","RFn",2,"300 ~ 600","TA","TA","Y",298,0,0,0,0,0,"No Pool","No Fence","None",0,5,2007,"WD","Normal",0.231667408405921
3,"60","RL",-0.0861837654319362,0.15317561699443,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story","0.615605273325129","5",0.956343454398104,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn or No","GLQ",-0.40884984315261,"Unf",0,434,-0.447342590255791,"GasA","Ex","Y","SBrkr",-0.689611690878688,0.288255841267101,0,0.604483196962184,"1","0","2 ~","Yes HalfBath","3 ~","1","Gd","6","Typ","Yes Fireplaces","TA","Attchd","2000 ~ ","RFn",2,"600 ~","TA","TA","Y",0,42,0,0,0,0,"No Pool","No Fence","None",0,9,2008,"WD","Normal",0.727987453711801
4,"70 ~ 90","RL",-0.417954669965714,-0.0657722482707301,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","2Story","0.615605273325129","5",-1.73526028283519,"1950~1997","Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil or Slab","TA","Gd","Mn or No","Not GLQ",-1.13931768380386,"Unf",0,540,-0.895623855769375,"GasA","Gd or TA","Y","SBrkr",-0.571349529924374,-0.135288380682229,0,0.459836307850172,"1","0","0 or 1","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Detchd","1980 ~ 2000","Unf",3,"600 ~","TA","TA","Y",0,35,272,0,0,0,"No Pool","No Fence","None",0,2,2006,"WD","Abnorml",-0.393363375921325
5,"60","RL",0.57735804363562,0.540842131375685,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor4","Norm","Norm","1Fam and TwnhsE","2Story","1.32818525570845","5",0.925045736523298,"1998~","Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av or Gd","GLQ",0.0483689163661347,"Unf",0,490,0.16767743865004,"GasA","Ex","Y","SBrkr",-0.0406120271050175,1.00828101858096,0,1.46817186818173,"1","0","2 ~","Yes HalfBath","3 ~","1","Gd","8 ~","Typ","Yes Fireplaces","TA","Attchd","1980 ~ 2000","RFn",3,"600 ~","TA","TA","Y",192,84,0,0,0,0,"No Pool","No Fence","None",0,12,2008,"WD","Normal",0.993418904935956
6,"50","RL",0.618829406702342,0.522167166397186,"Pave","Pave and No Alley","IR","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","Foyer and .5","-0.809554691441521","5",0.705961711399658,"1950~1997","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock or Stone or Wood","Gd","TA","Mn or No","GLQ",0.256687522774083,"Unf",0,64,-0.786286961741672,"GasA","Ex","Y","SBrkr",-1.04728261669173,-0.866864764049253,0,-0.284361454972497,"1","0","0 or 1","Yes HalfBath","0 ~ 2","1","TA","5","Typ","No Fireplaces","No Fireplace","Attchd","1980 ~ 2000","Unf",2,"300 ~ 600","TA","TA","Y",40,30,0,320,0,0,"No Pool","Yes Fence","Shed",700,10,2009,"WD","Normal",-0.342062946379087
7,"20","RL",0.20411577603512,0.0030031399949144,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor1","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","1.32818525570845","5",1.05023660802252,"1998~","Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av or Gd","GLQ",1.98005053942166,"Unf",0,317,1.64645893037473,"GasA","Ex","Y","SBrkr",1.54294715250274,0,0,0.411620678146168,"1","0","2 ~","No HalfBath","3 ~","1","Gd","7","Typ","Yes Fireplaces","Gd","Attchd","2000 ~ ","RFn",2,"600 ~","TA","TA","Y",255,57,0,0,0,0,"No Pool","No Fence","None",0,8,2007,"WD","Normal",1.4768669485694
9,"50","RMH",-0.791196937566215,-0.507531764658671,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","non-norm","Norm","1Fam and TwnhsE","Foyer and .5","0.615605273325129","5",-1.2344967968383,"1950~1997","Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil or Slab","TA","TA","Mn or No","Not GLQ",0,"Unf",0,952,-0.359873075033628,"GasA","Gd or TA","Y","FuseF",-0.395398509967957,-0.150689988753114,0,0.579327216247052,"0","0","2 ~","No HalfBath","0 ~ 2","2 ~","TA","8 ~","Min1","Yes Fireplaces","TA","Detchd","1900 ~ 1980","Unf",2,"300 ~ 600","Fa","TA","Y",90,0,205,0,0,0,"No Pool","No Fence","None",0,4,2008,"WD","Abnorml",-0.574903700516595
10,"160 ~ 190","RL",-0.832668300632937,-0.340101044161784,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor2","non-norm","Artery","others","Foyer and .5","-0.809554691441521","6~9",-0.984115053839854,"1950~1997","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil or Slab","TA","TA","Mn or No","GLQ",0.578634459950004,"Unf",0,140,-0.253269603356618,"GasA","Ex","Y","SBrkr",-0.236754147712171,0,0,-0.881815996956893,"1","0","0 or 1","No HalfBath","0 ~ 2","2 ~","TA","5","Typ","Yes Fireplaces","TA","Attchd","1900 ~ 1980","RFn",1,"0 ~ 300","Gd","TA","Y",0,4,0,0,0,0,"No Pool","No Fence","None",0,1,2008,"WD","Normal",-0.808697840038963
11,"20","RL",-0.00324103929849165,0.146735973898396,"Pave","Pave and No Alley","Reg","Lvl and Low","AllPub","FR2 and Corner and Inside","Gtl","neighbor3","Norm","Norm","1Fam and TwnhsE","SLvl and 1Story","-0.809554691441521","5",-0.170374389094904,"1950~1997","Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock or Stone or Wood","TA","TA","Mn or No","Not GLQ",0.72743346452711,"Unf",0,134,-0.119331908172681,"GasA","Ex","Y","SBrkr",-0.343478536866064,0,0,-0.959380270828551,"1","0","0 or 1","No HalfBath","3 ~","1","TA","5","Typ","No Fireplaces","No Fireplace","Detchd","1900 ~ 1980","Unf",1,"300 ~ 600","TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","None",0,2,2008,"WD","Normal",-0.582393313695931
